,  JetHT,  MuOnia,  DoubleEG,  MuonEG,  DoubleMuon,  Charmonium,  DoubleMuonLowMass,  SingleMuon,  SingleElectron,  NoBPTX,  HTMHT,  MET,  BTagCSV,  SinglePhoton,  BTagMu,  DisplacedJet,  HLTPhysics,  EphemeralHLTPhysics1,  EphemeralHLTPhysics2,  EphemeralHLTPhysics3,  EphemeralHLTPhysics4,  EphemeralHLTPhysics5,  EphemeralHLTPhysics6,  EphemeralHLTPhysics7,  EphemeralHLTPhysics8,  ZeroBias,  EphemeralZeroBias1,  EphemeralZeroBias2,  EphemeralZeroBias3,  EphemeralZeroBias4,  EphemeralZeroBias5,  EphemeralZeroBias6,  EphemeralZeroBias7,  EphemeralZeroBias8,  ParkingHT,  ParkingMuon,  ScoutingCaloMuon,  AlCaPhiSym,  Commissioning,  HcalNZS,  IsolatedBunch,  RPCMonitor,  AlCaLumiPixels,  AlCaP0,  Tau
JetHT, 18532.82, 0.0, 102.96, 51.48, 0.0, 0.0, 0.0, 257.4, 154.44, 0.0, 0.0, 669.24, 0.0, 772.2, 0.0, 3603.6, 205.92, 18532.82, 18532.82, 18532.82, 18532.82, 18532.82, 18532.82, 18532.82, 18532.82, 5611.33, 5611.33, 5611.33, 5611.33, 5611.33, 5611.33, 5611.33, 5611.33, 5611.33, 17812.1, 360.36, 11325.61, 5611.33, 154.44, 0.0, 0.0, 308.88, 5611.33, 6229.09, 102.96
HTMHT, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
NoBPTX, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 2110.68, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2110.68, 2110.68, 2110.68, 2110.68, 2110.68, 2110.68, 2110.68, 2110.68, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 205.92, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 0.0, 0.0
SingleElectron, 154.44, 0.0, 257.4, 102.96, 0.0, 0.0, 0.0, 51.48, 2574.0, 0.0, 0.0, 51.48, 0.0, 360.36, 0.0, 102.96, 0.0, 2574.0, 2574.0, 2574.0, 2574.0, 2574.0, 2574.0, 2574.0, 2574.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 154.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 617.76, 0.0
DoubleMuon, 0.0, 0.0, 0.0, 102.96, 1081.08, 51.48, 0.0, 566.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 617.76, 0.0, 0.0, 0.0, 0.0, 0.0, 669.24, 0.0, 0.0, 0.0
MuOnia, 0.0, 1081.08, 0.0, 0.0, 0.0, 51.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 1081.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1081.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EphemeralHLTPhysics8, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
EphemeralHLTPhysics6, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
EphemeralHLTPhysics7, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
EphemeralHLTPhysics4, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
EphemeralHLTPhysics5, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
EphemeralHLTPhysics2, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
EphemeralHLTPhysics3, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
EphemeralHLTPhysics1, 18532.82, 1081.08, 1956.24, 566.28, 1081.08, 4375.8, 514.8, 72947.23, 2574.0, 2110.68, 0.0, 7567.57, 0.0, 10193.05, 154.44, 3603.6, 5302.45, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 515675.68, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 124839.12, 20643.5, 17142.86, 205.92, 51.48, 0.0, 35006.44, 12200.77, 57091.38, 360.36
RPCMonitor, 308.88, 0.0, 0.0, 102.96, 669.24, 51.48, 51.48, 33256.11, 0.0, 154.44, 0.0, 51.48, 0.0, 0.0, 0.0, 51.48, 308.88, 35006.44, 35006.44, 35006.44, 35006.44, 35006.44, 35006.44, 35006.44, 35006.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 566.28, 33256.11, 463.32, 0.0, 0.0, 51.48, 0.0, 35006.44, 0.0, 411.84, 0.0
BTagCSV, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
HcalNZS, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 51.48, 51.48, 51.48, 51.48, 51.48, 51.48, 51.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 0.0, 0.0, 0.0, 51.48, 0.0, 51.48, 0.0, 0.0, 0.0
BTagMu, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 0.0, 154.44, 154.44, 154.44, 154.44, 154.44, 154.44, 154.44, 154.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
MuonEG, 51.48, 0.0, 0.0, 566.28, 102.96, 102.96, 51.48, 154.44, 102.96, 0.0, 0.0, 0.0, 0.0, 102.96, 0.0, 51.48, 0.0, 566.28, 566.28, 566.28, 566.28, 566.28, 566.28, 566.28, 566.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 205.92, 51.48, 0.0, 0.0, 0.0, 0.0, 102.96, 0.0, 102.96, 0.0
EphemeralZeroBias3, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 12200.77, 0.0, 0.0, 0.0, 0.0, 12200.77, 0.0, 0.0
HLTPhysics, 205.92, 0.0, 0.0, 0.0, 51.48, 0.0, 0.0, 720.72, 0.0, 0.0, 0.0, 51.48, 0.0, 51.48, 0.0, 51.48, 5302.45, 5302.45, 5302.45, 5302.45, 5302.45, 5302.45, 5302.45, 5302.45, 5302.45, 102.96, 51.48, 51.48, 51.48, 51.48, 51.48, 51.48, 51.48, 51.48, 360.36, 1338.48, 257.4, 102.96, 0.0, 0.0, 0.0, 308.88, 51.48, 669.24, 0.0
DoubleMuonLowMass, 0.0, 0.0, 0.0, 51.48, 0.0, 360.36, 514.8, 51.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 514.8, 514.8, 514.8, 514.8, 514.8, 514.8, 514.8, 514.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 463.32, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 0.0, 0.0, 0.0
SinglePhoton, 772.2, 0.0, 823.68, 102.96, 0.0, 0.0, 0.0, 51.48, 360.36, 0.0, 0.0, 154.44, 0.0, 10193.05, 0.0, 205.92, 51.48, 10193.05, 10193.05, 10193.05, 10193.05, 10193.05, 10193.05, 10193.05, 10193.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1184.04, 0.0, 772.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4272.84, 0.0
SingleMuon, 257.4, 0.0, 0.0, 154.44, 566.28, 102.96, 51.48, 72947.23, 51.48, 154.44, 0.0, 51.48, 0.0, 51.48, 0.0, 102.96, 720.72, 72947.23, 72947.23, 72947.23, 72947.23, 72947.23, 72947.23, 72947.23, 72947.23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 566.28, 72844.27, 411.84, 0.0, 0.0, 51.48, 0.0, 33256.11, 0.0, 360.36, 0.0
DisplacedJet, 3603.6, 0.0, 51.48, 51.48, 0.0, 0.0, 0.0, 102.96, 102.96, 0.0, 0.0, 411.84, 0.0, 205.92, 0.0, 3603.6, 51.48, 3603.6, 3603.6, 3603.6, 3603.6, 3603.6, 3603.6, 3603.6, 3603.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3603.6, 51.48, 3603.6, 0.0, 51.48, 0.0, 0.0, 51.48, 0.0, 2110.68, 102.96
ZeroBias, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 102.96, 17348.78, 17348.78, 17348.78, 17348.78, 17348.78, 17348.78, 17348.78, 17348.78, 17348.78, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 17142.86, 0.0, 0.0, 0.0, 0.0, 12200.77, 360.36, 0.0
EphemeralZeroBias6, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 12200.77, 0.0, 0.0, 0.0, 0.0, 12200.77, 0.0, 0.0
ScoutingCaloMuon, 11325.61, 0.0, 102.96, 51.48, 0.0, 0.0, 0.0, 411.84, 154.44, 0.0, 0.0, 772.2, 0.0, 772.2, 0.0, 3603.6, 257.4, 20643.5, 20643.5, 20643.5, 20643.5, 20643.5, 20643.5, 20643.5, 20643.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20643.5, 463.32, 20643.5, 0.0, 154.44, 0.0, 0.0, 463.32, 0.0, 8442.73, 102.96
AlCaPhiSym, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 102.96, 17142.86, 17142.86, 17142.86, 17142.86, 17142.86, 17142.86, 17142.86, 17142.86, 17142.86, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 17142.86, 0.0, 0.0, 0.0, 0.0, 12200.77, 360.36, 0.0
EphemeralZeroBias2, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 12200.77, 0.0, 0.0, 0.0, 0.0, 12200.77, 0.0, 0.0
Tau, 102.96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 102.96, 0.0, 360.36, 360.36, 360.36, 360.36, 360.36, 360.36, 360.36, 360.36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 102.96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 360.36
EphemeralZeroBias1, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 12200.77, 0.0, 0.0, 0.0, 0.0, 12200.77, 0.0, 0.0
IsolatedBunch, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EphemeralZeroBias7, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 12200.77, 0.0, 0.0, 0.0, 0.0, 12200.77, 0.0, 0.0
EphemeralZeroBias4, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 12200.77, 0.0, 0.0, 0.0, 0.0, 12200.77, 0.0, 0.0
Charmonium, 0.0, 51.48, 0.0, 102.96, 51.48, 4375.8, 360.36, 102.96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4375.8, 4375.8, 4375.8, 4375.8, 4375.8, 4375.8, 4375.8, 4375.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4375.8, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 0.0, 0.0, 0.0
EphemeralZeroBias8, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 12200.77, 0.0, 0.0, 0.0, 0.0, 12200.77, 0.0, 0.0
EphemeralZeroBias5, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 12200.77, 0.0, 0.0, 0.0, 0.0, 12200.77, 0.0, 0.0
AlCaLumiPixels, 5611.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 0.0, 0.0, 12200.77, 0.0, 0.0, 0.0, 0.0, 12200.77, 0.0, 0.0
AlCaP0, 6229.09, 0.0, 875.16, 102.96, 0.0, 0.0, 0.0, 360.36, 617.76, 0.0, 0.0, 1389.96, 0.0, 4272.84, 0.0, 2110.68, 669.24, 57091.38, 57091.38, 57091.38, 57091.38, 57091.38, 57091.38, 57091.38, 57091.38, 360.36, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11325.61, 566.28, 8442.73, 360.36, 102.96, 0.0, 0.0, 411.84, 0.0, 57091.38, 51.48
MET, 669.24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 51.48, 0.0, 0.0, 7567.57, 0.0, 154.44, 0.0, 411.84, 51.48, 7567.57, 7567.57, 7567.57, 7567.57, 7567.57, 7567.57, 7567.57, 7567.57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6126.13, 51.48, 772.2, 0.0, 0.0, 0.0, 0.0, 51.48, 0.0, 1389.96, 0.0
DoubleEG, 102.96, 0.0, 1956.24, 0.0, 0.0, 0.0, 0.0, 0.0, 257.4, 0.0, 0.0, 0.0, 0.0, 823.68, 0.0, 51.48, 0.0, 1956.24, 1956.24, 1956.24, 1956.24, 1956.24, 1956.24, 1956.24, 1956.24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 102.96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 875.16, 0.0
Commissioning, 154.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.48, 0.0, 205.92, 205.92, 205.92, 205.92, 205.92, 205.92, 205.92, 205.92, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 154.44, 0.0, 154.44, 0.0, 205.92, 0.0, 0.0, 0.0, 0.0, 102.96, 0.0
ParkingMuon, 360.36, 1081.08, 0.0, 205.92, 617.76, 4375.8, 463.32, 72844.27, 0.0, 205.92, 0.0, 51.48, 0.0, 0.0, 0.0, 51.48, 1338.48, 124839.12, 124839.12, 124839.12, 124839.12, 124839.12, 124839.12, 124839.12, 124839.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 720.72, 124839.12, 463.32, 0.0, 0.0, 51.48, 0.0, 33256.11, 0.0, 566.28, 0.0
ParkingHT, 17812.1, 0.0, 154.44, 51.48, 0.0, 0.0, 0.0, 566.28, 154.44, 0.0, 0.0, 6126.13, 0.0, 1184.04, 0.0, 3603.6, 360.36, 51891.89, 51891.89, 51891.89, 51891.89, 51891.89, 51891.89, 51891.89, 51891.89, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 12200.77, 51891.89, 720.72, 20643.5, 12200.77, 154.44, 0.0, 0.0, 566.28, 12200.77, 11325.61, 154.44
